,DN,target,Name,x_centroid,y_centroid,area_m,perimeter,glaciersum,mean_elevation,median_elevation,std_elevation,min_elevation,max_elevation,range_elevation,variance_elevation,region,region_name,mean_slope,median_slope,std_slope,min_slope,max_slope,range_slope,variance_slope,glarea_percent,glacier,x_wgs,y_wgs,M,Rc,Cc,mean_annual_T,mean_jan_T,mean_july_T,mean_monsoon_T,mean_no_monsoon_T,count_zeros
1051,242,1,DF,5219704.84,-1689045.18,732153.983,5776.95,0.0,4442.819472616633,4440.5,370.5158728510973,3566.0,5155.0,1589.0,137282.01203461044,7,tadjikistan,44.87489717243651,44.68146324157715,8.581673266598205,9.24105167388916,68.00896453857422,58.76791286468506,73.64511605464631,0.0,0,72.069,39.12,1359643.6911596886,0.2756862309394202,1.918088439281188,-10.189209,-21.551453,0.9723816,-3.1499329,-17.2574,16.625
1052,243,1,DF,5216764.435,-1689263.36,582901.497,4250.963,0.0,3821.1528662420383,3827.0,221.26219180789067,3270.0,4261.0,991.0,48956.957523631805,7,tadjikistan,38.04036330812296,37.89979553222656,6.708376783627299,14.481425285339355,57.6649169921875,43.18349170684815,45.00231907110975,0.0,0,72.057,39.147,756608.5415029736,0.4053501936635202,1.581834244995232,-10.189209,-21.551453,0.9723816,-3.1499329,-17.2574,16.625
1053,244,1,DF,5222909.297,-1684753.0,1361836.11,8011.431,0.0,5098.9520174482,5092.5,578.9549368073631,3956.0,6143.0,2187.0,335188.8188536178,7,tadjikistan,44.21550912906456,44.013893127441406,10.024527699478336,1.857815980911255,73.52467346191406,71.66685748100281,100.49115559760844,0.0,0,72.122,39.102,2552179.440637078,0.2666333789907293,1.9503785299144785,-10.189209,-21.551453,0.9723816,-3.1499329,-17.2574,16.625
1054,245,1,DF,5223351.831,-1686503.21,742.55,108.999,0.0,4042.0,4042.0,0.0,4042.0,4042.0,0.0,0.0,7,tadjikistan,31.221519470214844,31.221519470214844,0.0,31.221519470214844,31.221519470214844,0.0,0.0,0.0,0,72.106,39.093,0.0,0.7853993532502325,1.136399139196378,-10.189209,-21.551453,0.9723816,-3.1499329,-17.2574,16.625
1057,246,1,DF,5223433.58,-1686557.71,742.55,108.999,0.0,4049.0,4049.0,0.0,4049.0,4049.0,0.0,0.0,7,tadjikistan,32.715518951416016,32.715518951416016,0.0,32.715518951416016,32.715518951416016,0.0,0.0,0.0,0,72.106,39.092,0.0,0.7853993532502325,1.136399139196378,-10.189209,-21.551453,0.9723816,-3.1499329,-17.2574,16.625
1060,1,1,DF,5887869.269,-1199140.3,761.154,110.356,0.0,5097.999999999966,5098.0,11.030261405181848,5084.0,5111.0,27.0,121.66666666664425,8,interior tibet,28.863292693992467,28.8632926940918,3.070678367198865,23.93097496032715,30.853126525878903,6.922151565551758,9.429065634783084,0.0,0,78.488,33.846,744.9035279819797,0.7853992767671734,1.1363991945282856,-9.00589,-22.850266,6.07489,-1.075592,-16.968048,6.8125
1062,2,1,DF,5887938.907,-1201216.23,3460480.775,12237.892,0.0,5695.617957746479,5751.0,297.5339513318188,4795.0,6423.0,1628.0,88526.45219512512,8,interior tibet,31.603040644636668,32.85276412963867,11.963233397916404,1.513333916664124,74.07951354980469,72.56617963314056,143.1189533330225,0.0,0,78.469,33.841,3028465.4329160834,0.2903575160399321,1.86900141216122,-9.00589,-22.850266,6.07489,-1.075592,-16.968048,6.8125
1064,3,1,DF,5887136.476,-1202074.8,4373388.422,10666.197,0.0,5686.827070285317,5719.0,281.50257810567786,4898.0,6373.0,1475.0,79243.70148014327,8,interior tibet,29.31036855907762,30.54777717590332,11.61604688828342,1.323444604873657,67.81935119628906,66.4959065914154,134.93254531079896,0.0,0,78.46,33.848,3084615.565287472,0.4830684941289988,1.4490114222518846,-9.00589,-22.850266,6.07489,-1.075592,-16.968048,6.8125
1066,4,1,DF,5889987.44,-1199610.22,2611160.144,8646.194,601781.982,5812.502040816326,5814.0,217.4600794339931,5230.0,6304.0,1074.0,47288.88614743858,8,interior tibet,36.79351643153599,37.64392852783203,13.461985991554016,1.101232647895813,74.41796875,73.31673610210419,181.22506683679657,23.046536742788152,1,78.488,33.824,1735485.6836806647,0.4389281358038357,1.5201255390044632,-9.00589,-22.850266,6.07489,-1.075592,-16.968048,6.8125
1068,5,1,DF,5891304.732,-1199744.63,7744231.834,18628.267,100653.26,5773.728310053119,5799.0,320.78570691538056,4853.0,6512.0,1659.0,102903.46976120042,8,interior tibet,35.21411997042912,36.89218711853027,15.854061577821753,0.0,72.55401611328125,72.55401611328125,251.3512685133639,1.299719096193576,1,78.489,33.811,4616741.506334675,0.2804421587855745,1.9017547731663784,-9.00589,-22.850266,6.07489,-1.075592,-16.968048,6.8125
1069,6,1,DF,5884986.278,-1201591.24,2549105.51,10539.007,0.0,5144.05076142132,5152.0,325.14125986790066,4488.0,5860.0,1372.0,105716.83886848572,8,interior tibet,28.13228799478799,29.02777099609375,9.152995019529204,4.92695140838623,47.86738967895508,42.94043827056885,83.7773178275264,0.0,0,78.46,33.87,2190524.00724937,0.2884020146190479,1.87532706224696,-7.1080933,-21.290436,8.305756,0.98986816,-15.239258,6.6875
1073,7,1,DF,5884748.449,-1202922.38,6587789.845,16994.839,0.0,5386.904563835933,5424.0,426.4165774632812,4484.0,6342.0,1858.0,181831.0975354985,8,interior tibet,27.90858578750813,28.398561477661133,9.780538885206129,0.734205365180969,60.29934310913086,59.56513774394989,95.65894088502915,0.0,0,78.447,33.87,4768871.034372242,0.2866259394025142,1.8811283134384644,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
