ID;Typ ;Target;Hmin_m;Hmax_m; Hmean_m;Catchment_Area_km; FL_m; FS_in; EZGL_m; EZGS_in; Rlf ;Meltons_R;Form;Cplan;Cpro ;ksn_m09
44;F ;0;4729;5854;5199;8563.5;1170;0.54;4754;13.31;0.237;0.384;0.406;-0.002;-0.0024;130.22
45;F ;0;4764;5854;5227;4231.8;1344;1.96;3830;15.89;0.285;0.53;0.31;0.0025;0.00113;121.49
46;F ;0;4803;5589;5002;3386.7;2029;1.95;3380;13.09;0.233;0.427;0.31;0.00857;0.00878;39.68
47;F ;0;4545;5405;4862;5437.8;232;5.17;3655;13.24;0.235;0.369;0.436;0.02944;0.029;61.87
51;F ;0;4672;6037;5418;34424.1;129;7.51;12196;6.39;0.112;0.233;0.249;0.00674;0.0094;107.34
52;F ;0;4779;6061;5534;34363635;259;15.12;12431;5.89;0.103;0.219;0.242;0.01584;0.00866;92.39
54;F ;0;4777;6148;5414;26436.6;1096;2.82;9986;7.82;0.137;0.267;0.283;0.00522;0.00527;93.69
55;F ;0;4750;6158;5437;23465.7;1302;4.22;8094;9.87;0.174;0.291;0.394;0.00463;0.00472;114.45
56;F ;0;4678;6181;5129;9337.5;391;6.13;5726;14.71;0.263;0.492;0.318;0.00884;0.00824;99.55
58;F ;0;4020;6369;5368;60764.4;689;1.91;10932;12.13;0.215;0.301;0.556;0.00783;0.00784;150.8
60;F ;0;4022;5994;5180;34078.5;222;0.52;9482;11.75;0.208;0.338;0.408;0.00719;0.00726;97.29
61;F ;0;4583;6023;5372;20475.9;1169;6.93;6197;13.08;0.232;0.318;0.582;0.00137;0.00181;134.35
68;F ;0;4088;6494;5482;156971.7;631;3.81;20392;6.73;0.118;0.192;0.426;0.01884;0.01872;109.38
73;F ;0;4318;5330;4924;4852.8;1213;8.21;3549;15.91;0.285;0.459;0.426;-0.01185;-0.01162;116.3
78;F ;0;4874;6494;5722;43764.3;698;3.44;10276;8.96;0.158;0.245;0.453;0.01517;0.01539;89.58
79;F ;0;4196;6456;5114;198842.4;2401;1.26;23281;5.54;0.097;0.16;0.396;0.00897;0.00908;101.65
81;F ;0;4140;5366;4720;9848876;270;8.22;5938;11.67;0.206;0.391;0.322;0.0032;0.00298;107.89
82;F ;0;3956;5370;4626;15493.5;183;8.39;6763;11.81;0.209;0.359;0.399;0.00427;0.00538;113.78
83;F ;0;3850;5831;4726;117299.7;369;5.26;14808;7.62;0.134;0.183;0.602;0.0114;0.01123;98.02
85;F ;0;3777;4963;4368;3627.9;216;10.75;3923;16.82;0.302;0.623;0.278;0.01006;0.00962;114
87;F ;0;3923;5877;4845;7943.4;447;8.4;6412;16.95;0.305;0.693;0.229;0.01506;0.01239;201.46
88;F ;0;4007;5837;4918;17715.6;209;7.63;7254;14.16;0.252;0.435;0.383;0.00198;0.00238;162.72
89;F ;0;3452;5108;4143;12470.4;2402;5.33;595;15.55;0.278;0.469;0.413;0.00575;0.00543;128.66
90;F ;0;3513;6092;4760;66450.6;4623;3.45;14865;9.84;0.173;0.316;0.34;0.00991;0.00999;128.09
91;F ;0;3500;5928;4709;108433.8;4424;3;15786;8.74;0.154;0.233;0.489;0.0076;0.00755;125.35
92;F ;0;3600;5654;4399;12294.9;2272;6.85;6765;16.89;0.304;0.586;0.311;0.00153;0.00153;154.02
94;F ;0;3455;5790;4637;56466.9;3576;3.74;14587;9.09;0.16;0.311;0.3;0.00789;0.00767;122.41
96;F ;0;3445;5633;4441;55623.6;3362;2.89;12918;9.61;0.169;0.293;0.379;0.00808;0.008;132.75
97;F ;0;3441;5931;4589;116553.6;867;4.55;17578;8.06;0.142;0.231;0.423;0.01049;0.01021;116.26
101;F ;0;3522;4921;4231;13680;1103;6.05;5042;15.51;0.277;0.378;0.635;0.00175;0.00247;115.37
102;F ;0;3567;5789;4511;37908.9;1901;4.9;10280;12.2;0.216;0.361;0.414;0.00446;0.00536;149.61
103;F ;0;3554;5240;4270;13647861;1116;7.5;6837;13.85;0.247;0.456;0.339;0.01207;0.0022;135.09
109;F ;0;3574;5870;4741;23299.2;419;8.68;8215;15.61;0.279;0.476;0.401;0.00658;0.00653;172.93
116;F ;0;3704;5986;4977;33780.6;526;9.92;10989;11.73;0.208;0.393;0.322;0.00523;0.00488;159.36
118;F ;0;4473;6288;5516;29787.3;1227;4.84;10440;9.86;0.174;0.333;0.314;0.0136;0.01312;122.3
119;F ;0;4440;6287;5445;173258.1;1652;2.36;19300;5.47;0.096;0.14;0.52;0.01901;0.0191;95.13
125;F ;0;4845;5878;5438;5452.2;343;2.17;4033;14.37;0.256;0.442;0.374;0.0031;0.00418;103.87
129;F ;0;4125;6577;5609;125498.7;964;4.74;18378;7.6;0.133;0.219;0.445;0.02042;0.02034;126.39
130;F ;0;4177;6782;5651;89531.1;1644;3.97;14864;9.94;0.175;0.275;0.476;0.02091;0.02098;95.47
132;F ;0;3483;6091;5022;22205.7;403;13.13;7824;18.43;0.333;0.553;0.452;-0.00263;-0.00251;203.45
136;F ;0;3347;6088;4728;19183.5;638;9.08;7775;19.42;0.353;0.626;0.374;0.00281;0.00372;217.92
137;F ;0;3434;5910;4951;49084.2;1239;7.99;12817;10.93;0.193;0.353;0.344;0.00484;0.00473;175.36
143;F ;0;3175;6182;5073;516640.5;2580;2.33;28773;5.97;0.105;0.132;0.715;0.01318;0.01321;121.62
148;F ;0;3223;6101;4828;35110.8;1818;4.87;9847;16.29;0.292;0.486;0.434;0.00699;0.00635;193.01
151;F ;0;3078;6105;5058;446286.6;622;6.42;37424;4.62;0.081;0.143;0.369;0.01596;0.01599;125.25
155;F ;0;4032;5909;5103;15421.5;688;9.73;5364;19.29;0.35;0.478;0.634;-0.004;-0.00353;156.16
158;F ;0;2706;5980;4790;117798.3;590;4.75;21097;8.82;0.155;0.302;0.319;0.01496;0.01482;143.1
159;F ;0;2743;5595;4624;53121.6;639;11.41;12084;13.28;0.236;0.391;0.456;0.01733;0.01752;155.33
160;F ;0;2650;5520;4641;141622.2;526;7.69;22019;7.43;0.13;0.241;0.346;0.01851;0.01857;128.41
164;F ;0;3199;5836;4789;15741;998;9.05;6965;20.74;0.379;0.665;0.403;-0.00309;-0.00231;243.13
165;F ;0;3120;5926;4547;44784;607;7.23;10913;14.42;0.257;0.419;0.442;0.00687;0.00706;167.5
167;F ;0;3356;7626;5473;121665.6;1649;5.47;20542;11.74;0.208;0.387;0.339;0.01828;0.01842;87.89
168;F ;0;3474;6348;5219;82893.6;1532;6.77;13306;12.19;0.216;0.316;0.572;0.02312;0.02331;109.66
169;F ;0;3399;6503;5146;70630.2;805;7.08;13040;13.39;0.238;0.369;0.514;0.02364;0.02375;109.09
